01-01 00:40:45.918  2955  2955 I kernel  : Start to log kernel message
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.824920]  remoteproc1: 55020000.ipu is available
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.824923]  remoteproc1: Note: remoteproc is still under development and considered experimental.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.824926]  remoteproc1: THE BINARY FORMAT IS NOT YET FINALIZED, and backward compatibility isn't yet guaranteed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.825061]  remoteproc2: 40800000.dsp is available
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.825064]  remoteproc2: Note: remoteproc is still under development and considered experimental.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    3.825066]  remoteproc2: THE BINARY FORMAT IS NOT YET FINALIZED, and backward compatibility isn't yet guaranteed.
01-01 00:40:45.918  2955  2955 I kernel  : <4>[    3.825323]  remoteproc0: Falling back to user helper
01-01 00:40:45.918  2955  2955 I kernel  : <4>[    3.825528]  remoteproc1: Direct firmware load failed with error -2
01-01 00:40:45.918  2955  2955 I kernel  : <4>[    3.825530]  remoteproc1: Falling back to user helper
01-01 00:40:45.918  2955  2955 I kernel  : <4>[    3.894905]  remoteproc2: Direct firmware load failed with error -2
01-01 00:40:45.918  2955  2955 I kernel  : <4>[    3.901275]  remoteproc2: Falling back to user helper
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    3.906382] hralvds 0-0055: PCLK not present.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    3.910794] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    3.916630] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    3.921945] smi130 0-0068: function entrance
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    3.926407] smi130 0-0068: read chip id result: 0xf
01-01 00:40:45.919  2955  2955 I kernel  : <5>[    3.931339] smi130 0-0068: Bosch Sensortec Device smi130 detected
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    3.941490] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    3.946734] hralvds 0-0055: PCLK not present.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    3.951124] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    3.956807] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.919  2955  2955 I kernel  : <5>[    3.969696] smi130 0-0068: IIO device sensor smi130 probed successfully
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    3.976502] mlb150 version 2.0.1 (built-in) 
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    3.980945] mlb150 4842c000.mlb150: used DBR after ctrl: 192
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    3.986661] mlb150 4842c000.mlb150: used DBR after async: 3264
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    3.992579] mlb150 4842c000.mlb150: used DBR after sync0: 3776 (512 bytes) (DMA 256, max 8192)
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.001274] mlb150 4842c000.mlb150: used DBR after sync1: 4288 (512 bytes) (DMA 256, max 8192)
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.009948] mlb150 4842c000.mlb150: used DBR after sync2: 4800 (512 bytes) (DMA 256, max 8192)
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.018665] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.023675] mlb150 4842c000.mlb150: used DBR after sync3: 5312 (512 bytes) (DMA 256, max 8192)
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.032372] mlb150 4842c000.mlb150: used DBR after sync4: 5824 (512 bytes) (DMA 256, max 8192)
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.041060] hralvds 0-0055: PCLK not present.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.045436] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.051135] mlb150 4842c000.mlb150: used DBR after sync5: 6336 (512 bytes) (DMA 256, max 8192)
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.059785] mlb150 4842c000.mlb150: used DBR after sync6: 8640 (2304 bytes) (DMA 256, max 6912)
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.061036] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.073163] mlb150 4842c000.mlb150: used DBR after isoc_sync: 8896
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.079370] mlb150 4842c000.mlb150: DBR: remaining: 7488, per isoc: 7488
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.086136] mlb150 4842c000.mlb150: minors: ctrl0 0, opt30 1, async0 2, isoc0 10, sync0 3
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.094539] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.099726] hralvds 0-0055: PCLK not present.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.104182] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.106599] mlb150 4842c000.mlb150: adjusted mlb register base: 0xdfa40400
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.116809] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.919  2955  2955 I kernel  : <4>[    4.128774] asoc_simple_card_sub_parse_of: codec-name: np = dc7bb074 ret = -22
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.136098] platform adv7611_hdmi_card: Driver asoc-simple-card requests probe deferral
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.144403] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.149558] hralvds 0-0055: PCLK not present.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.153971] u32 classifier
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.153985] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.153989] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.167067]     Actions configured
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.170485] Netfilter messages via NETLINK v0.30.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.175281] nf_conntrack version 0.5.0 (16384 buckets, 65536 max)
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.181595] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.181703] ctnetlink v0.93: registering with nfnetlink.
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.192114] hralvds 0-0055: PCLK not present.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.192353] xt_time: kernel timezone is -0000
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.192592] ip_tables: (C) 2000-2006 Netfilter Core Team
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.192738] arp_tables: (C) 2002 David S. Miller
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.192774] TCP: cubic registered
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.192777] Initializing XFRM netlink socket
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.218490] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.224211] NET: Registered protocol family 10
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.224219] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.233974] mip6: Mobile IPv6
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.236974] ip6_tables: (C) 2000-2006 Netfilter Core Team
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.242628] sit: IPv6 over IPv4 tunneling driver
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.247288] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.248147] NET: Registered protocol family 17
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.248166] NET: Registered protocol family 15
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.248169] 8021q: 802.1Q VLAN Support v1.8
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.248191] NET: Registered protocol family 41
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.248970] Adding alias for supply vdd,cpu0 -> vdd,4a003b20.voltdm
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.248973] Adding alias for supply vbb,cpu0 -> vbb,4a003b20.voltdm
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.282748] hralvds 0-0055: PCLK not present.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.283541] Power Management for TI OMAP4+ devices.
01-01 00:40:45.919  2955  2955 I kernel  : <4>[    4.283728] Exporting gpios ###
01-01 00:40:45.919  2955  2955 I kernel  : <4>[    4.283939] GPIO 498 GPS power was exported
01-01 00:40:45.919  2955  2955 I kernel  : <4>[    4.284142] GPIO 499 was exported
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.284145] ThumbEE CPU extension supported.
01-01 00:40:45.919  2955  2955 I kernel  : <5>[    4.284159] Registering SWP/SWPB emulation handler
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.311823] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.317524] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.322758] vmmcwl_fixed: disabling
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.326264] evm_3v3_sd: disabling
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.329592] regulator-dummy: disabling
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.333733] dmm 4e000000.dmm: workaround for errata i878 in use
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.341343] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.346553] hralvds 0-0055: PCLK not present.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.350959] dmm 4e000000.dmm: initialized all PAT entries
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.356411] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.362191] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.369781] [drm] Supports vblank timestamp caching Rev 2 (21.10.2013).
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.376462] [drm] No driver support for vblank timestamp query.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.382730] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.387865] hralvds 0-0055: PCLK not present.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.392310] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.397993] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.919  2955  2955 I kernel  : <4>[    4.408175]  regm =  777, regn = 13
01-01 00:40:45.919  2955  2955 I kernel  : <4>[    4.408175] 
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.419911] [drm] Enabling DMM ywrap scrolling
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.424666] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.429982] hralvds 0-0055: PCLK not present.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.429986] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.429990] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.441327] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.441476] hralvds 0-0055: PCLK not present.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.441480] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.441483] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.919  2955  2955 I kernel  : <4>[    4.446464]  regm =  777, regn = 13
01-01 00:40:45.919  2955  2955 I kernel  : <4>[    4.446464] 
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.461314] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.461462] hralvds 0-0055: PCLK not present.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.461466] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.461469] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.919  2955  2955 I kernel  : <4>[    4.462901]  regm =  777, regn = 13
01-01 00:40:45.919  2955  2955 I kernel  : <4>[    4.462901] 
01-01 00:40:45.919  2955  2955 I kernel  : <4>[    4.465156] omapdss DPI: Could not find exact pixel clock. Requested 82441152 Hz, got 82440289 Hz
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.468495] hralvds 0-0055: set HDCP EN, rc = 1
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.468499] hralvds 0-0055: HDCP ISR INT DETECT
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.468773] hralvds 0-0055: Bad IRQ detected (#3), STS = 28, ISR = 00
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.469255] hralvds 0-0055: HDCP ISR IS KSV RDY
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.469635] hralvds 0-0055: HDCP ISR IS AUTH PASS
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.469919] hralvds 0-0055: Bad IRQ detected (#4), STS = 29, ISR = 00
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.481332] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.481492] hralvds 0-0055: PCLK detection done.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.481495] hralvds 0-0055: FPDLink detected.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.481655] hralvds 0-0055: Deserializer found at phys address 0x2c.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.481659] hralvds 0-0055: Serializer status dump:
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.482433] i2c ser 0-000c: SER925_CONFIG0 = 0x8b
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.482437] i2c ser 0-000c: SER925_CONFIG1 = 0x8a
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.482441] i2c ser 0-000c: SER925_DATA_CTL = 0x00
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.482445] i2c ser 0-000c: SER925_MODE_STS = 0x10
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.482448] i2c ser 0-000c: SER925_GEN_STS = 0x05
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.482670] hralvds 0-0055: Deserializer status dump:
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.483711] i2c des 0-003b: DES928_CONFIG0 = 0x00
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.483715] i2c des 0-003b: DES928_CONFIG1 = 0xf0
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.483718] i2c des 0-003b: DES928_DATA_CTL = 0x90
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.483721] i2c des 0-003b: DES928_RX_STS = 0x10
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.483725] i2c des 0-003b: DES928_GEN_STS = 0x03
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.484577] hralvds 0-0055: Poll init try 0
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.484861] omapdss DPI: ++++++++ENABLE CDCE913++++++++
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.484869] hralvds 0-0055: hralvds_power_on sets power_state: POWER_STATE_OFF -> POWER_STATE_POWERING_ON_1
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.484874] hralvds 0-0055: Powering the panel on.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.529974] Console: switching to colour frame buffer device 240x45
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.751636] omapdrm omapdrm.0: fb0: omapdrm frame buffer device
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.757592] omapdrm omapdrm.0: registered panic notifier
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.762955] [drm] Initialized omapdrm 1.0.0 20110917 on minor 0
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.770433] evm_3v3_sw: 3300 mV 
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.773771] evm_3v3_sw: supplied by sysen1
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.778376] aic_dvdd: 1800 mV 
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.781500] aic_dvdd: supplied by evm_3v3_sw
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.786124] vtt_fixed: 1350 mV 
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.789311] vtt_fixed: supplied by sysen2
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.793894] !!!!!!!!!!!!!!!!!!!!!omap_hsmmc_probe called!!!!!!!!!!!!!!!!!!!!!
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.841082] exiting omap_hsmmc_probe successfully!!!!!!!!!!!!!!!!!!!!!
01-01 00:40:45.919  2955  2955 I kernel  : <4>[    4.847920] asoc_simple_card_sub_parse_of: codec-name: np = dc7bb074 ret = -22
01-01 00:40:45.919  2955  2955 I kernel  : <4>[    4.855301] asoc_simple_card_sub_parse_of: codec-name: np = dc7bb12c ret = 0
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.862445] asoc-simple-card adv7611_hdmi_card: ASoC: CODEC adv7611-asoc-codec not registered
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.871132] platform adv7611_hdmi_card: Driver asoc-simple-card requests probe deferral
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.879748] public_nor_is_visible: length (32)
01-01 00:40:45.919  2955  2955 I kernel  : <3>[    4.884326] otg_wakelock_init: No USB transceiver found
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.889948] omap_rtc 48838000.rtcss: setting system clock to 2000-01-01 00:00:00 UTC (946684800)
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.910275] ALSA device list:
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.913344]   No soundcards found.
01-01 00:40:45.919  2955  2955 I kernel  : <6>[    4.917524] Freeing unused kernel memory: 316K (80858000 - 808a7000)
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.933206] SELinux: 2048 avtab hash slots, 6291 rules.
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.935873] SELinux: 2048 avtab hash slots, 6291 rules.
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.935891] SELinux:  1 users, 2 roles, 465 types, 0 bools, 1 sens, 1024 cats
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.935904] SELinux:  86 classes, 6291 rules
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.936992] SELinux:  Completing initialization.
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.936999] SELinux:  Setting up existing superblocks.
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.937018] SELinux: initialized (dev rootfs, type rootfs), uses genfs_contexts
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.937097] SELinux: initialized (dev bdev, type bdev), not configured for labeling
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.937112] SELinux: initialized (dev proc, type proc), uses genfs_contexts
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.937136] SELinux: initialized (dev tmpfs, type tmpfs), uses transition SIDs
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.937161] SELinux: initialized (dev devtmpfs, type devtmpfs), uses transition SIDs
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.937561] SELinux: initialized (dev debugfs, type debugfs), uses genfs_contexts
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.945594] SELinux: initialized (dev sockfs, type sockfs), uses task SIDs
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.945613] SELinux: initialized (dev pipefs, type pipefs), uses task SIDs
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.945625] SELinux: initialized (dev anon_inodefs, type anon_inodefs), not configured for labeling
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.945637] SELinux: initialized (dev aio, type aio), not configured for labeling
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.945651] SELinux: initialized (dev devpts, type devpts), uses transition SIDs
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.945670] SELinux: initialized (dev mqueue, type mqueue), uses transition SIDs
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.945689] SELinux: initialized (dev selinuxfs, type selinuxfs), uses genfs_contexts
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.945770] SELinux: initialized (dev drm, type drm), not configured for labeling
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.945782] SELinux: initialized (dev tmpfs, type tmpfs), uses transition SIDs
01-01 00:40:45.977  2955  2955 I kernel  : <7>[    4.945817] SELinux: initialized (dev sysfs, type sysfs), uses genfs_contexts
01-01 00:40:45.977  2955  2955 I kernel  : <6>[    4.953846] mmc2: BKOPS_EN bit is not set
01-01 00:40:45.977  2955  2955 I kernel  : <6>[    4.963332] omap_hsmmc 480b4000.mmc: selected tuning value 0x2c max_index 8, max_window 7
01-01 00:40:45.977  2955  2955 I kernel  : <5>[    4.988102] audit: type=1403 audit(946684800.589:2): policy loaded auid=4294967295 ses=4294967295
01-01 00:40:45.977  2955  2955 I kernel  : <6>[    4.997294] hralvds 0-0055: Deserializer establishment complete.
01-01 00:40:45.977  2955  2955 I kernel  : <6>[    5.011527] hralvds 0-0055: hralvds_set_handshake data:0x00000003
01-01 00:40:45.977  2955  2955 I kernel  : <6>[    5.021429] hralvds 0-0055: hralvds_timer_worker sets power_state: POWER_STATE_POWERING_ON_1 -> POWER_STATE_POWERING_ON_1
01-01 00:40:45.977  2955  2955 I kernel  : <6>[    5.023422] mmc2: new HS200 MMC card at address 0001
01-01 00:40:45.977  2955  2955 I kernel  : <6>[    5.037494] mmcblk0: mmc2:0001 R1J58E 59.2 GiB 
01-01 00:40:45.977  2955  2955 I kernel  : <6>[    5.042280] mmcblk0boot0: mmc2:0001 R1J58E partition 1 8.00 MiB
01-01 00:40:45.977  2955  2955 I kernel  : <6>[    5.048460] mmcblk0boot1: mmc2:0001 R1J58E partition 2 8.00 MiB
01-01 00:40:45.977  2955  2955 I kernel  : <4>[    5.056437] Alternate GPT is invalid, using primary GPT.
01-01 00:40:45.977  2955  2955 I kernel  : <6>[    5.061866]  mmcblk0: p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 p12 p13 p14 p15 p16 p17 p18 p19 p20
01-01 00:40:45.977  2955  2955 I kernel  : <11>[    5.073425] init: service 'console' requires console
01-01 00:40:45.977  2955  2955 I kernel  : <6>[    5.076791]  mmcblk0boot1: unknown partition table
01-01 00:40:45.977  2955  2955 I kernel  : <6>[    5.078054]  mmcblk0boot0: unknown partition table
01-01 00:40:45.977  2955  2955 I kernel  : <4>[    5.078688] asoc_simple_card_sub_parse_of: codec-name: np = dc7bb074 ret = -22
01-01 00:40:45.977  2955  2955 I kernel  : <4>[    5.078748] asoc_simple_card_sub_parse_of: codec-name: np = dc7bb12c ret = 0
01-01 00:40:45.977  2955  2955 I kernel  : <3>[    5.078804] asoc-simple-card adv7611_hdmi_card: ASoC: CODEC adv7611-asoc-codec not registered
01-01 00:40:45.977  2955  2955 I kernel  : <6>[    5.078844] platform adv7611_hdmi_card: Driver asoc-simple-card requests probe deferral
01-01 00:40:45.978  2955  2955 I kernel  : <11>[    5.366008] init: /dev/hw_random not found
01-01 00:40:45.978  2955  2955 I kernel  : <7>[    5.367265] SELinux: initialized (dev cgroup, type cgroup), uses genfs_contexts
01-01 00:40:45.978  2955  2955 I kernel  : <7>[    5.367617] SELinux: initialized (dev tmpfs, type tmpfs), uses transition SIDs
01-01 00:40:45.978  2955  2955 I kernel  : <7>[    5.369744] SELinux: initialized (dev tmpfs, type tmpfs), uses transition SIDs
01-01 00:40:45.978  2955  2955 I kernel  : <7>[    5.369963] SELinux: initialized (dev tmpfs, type tmpfs), uses transition SIDs
01-01 00:40:45.978  2955  2955 I kernel  : <7>[    5.371542] SELinux: initialized (dev cgroup, type cgroup), uses genfs_contexts
01-01 00:40:45.978  2955  2955 I kernel  : <7>[    5.372611] SELinux: initialized (dev pstore, type pstore), uses genfs_contexts
01-01 00:40:45.978  2955  2955 I kernel  : <6>[    5.381334] mlbmep version 0.0.0 C374B1D536439CFACD6A569
01-01 00:40:45.978  2955  2955 I kernel  : <6>[    5.381370] mlbmep: default mtu 1500
01-01 00:40:45.978  2955  2955 I kernel  : <6>[    5.382604] mlbmep: mlb150 minor 2 (MEP/async)
01-01 00:40:45.978  2955  2955 I kernel  : <6>[    5.382613] mlbmep: mlb150 minor 0 (ctrl)
01-01 00:40:45.978  2955  2955 I kernel  : <7>[    5.384118] SELinux: initialized (dev tmpfs, type tmpfs), uses transition SIDs
01-01 00:40:45.978  2955  2955 I kernel  : <7>[    5.384368] SELinux: initialized (dev tmpfs, type tmpfs), uses transition SIDs
01-01 00:40:45.978  2955  2955 I kernel  : <11>[    5.384896] init: /dev/hw_random not found
01-01 00:40:45.978  2955  2955 I kernel  : <14>[    5.392062] fs_mgr: Mounting system1
01-01 00:40:45.978  2955  2955 I kernel  : <11>[    5.403392] ControlBoxStateMachineDaemon : ControlBox()
01-01 00:40:45.978  2955  2955 I kernel  : <11>[    5.403440] ControlBoxStateMachineDaemon : StateMachine()
01-01 00:40:45.978  2955  2955 I kernel  : <11>[    5.403561] ControlBoxStateMachineDaemon : Booting from EMMC...
01-01 00:40:45.978  2955  2955 I kernel  : <11>[    5.407860] ControlBoxStateMachineDaemon : skip_ff read from utility : 0
01-01 00:40:45.978  2955  2955 I kernel  : <11>[    5.407881] ControlBoxStateMachineDaemon : vanilla_state read from utility : 0
01-01 00:40:45.978  2955  2955 I kernel  : <11>[    5.407896] ControlBoxStateMachineDaemon : enterFFPrecheck() with vanilla 0
01-01 00:40:45.978  2955  2955 I kernel  : <11>[    5.407909] ControlBoxStateMachineDaemon : resetFactoryFlashing()
01-01 00:40:45.978  2955  2955 I kernel  : <11>[    5.407923] ControlBoxStateMachineDaemon : vanilla_state : 0
01-01 00:40:45.978  2955  2955 I kernel  : <14>[    5.409524] fs_mgr: Finished adding system index
01-01 00:40:45.978  2955  2955 I kernel  : <11>[    5.409987] ControlBoxStateMachineDaemon : State changing to: LowPowerMode
01-01 00:40:45.978  2955  2955 I kernel  : <7>[    5.410487] mlb150: MLB_SET_FPS ctrl: fs 2048, MLBC0: 0x0002802d (no lock)
